Waktu,ketinggian,intensitas,kategori_banjir
19/12/2016,4.36,,aman
20/12/2016,4.32,,aman
21/12/2016,4.19,,aman
22/12/2016,4.03,,aman
23/12/2016,4.01,,aman
24/12/2016,3.29,,aman
25/12/2016,1.99,,aman
26/12/2016,4.12,11.0,aman
27/12/2016,4.04,,aman
28/12/2016,1.93,,aman
29/12/2016,3.96,,aman
30/12/2016,4,,aman
31/12/2016,4,,aman
01/01/2017,4.19,,aman
02/01/2017,04.02,,aman
03/01/2017,04.03,1,aman
04/01/2017,04.05,,aman
05/01/2017,3.97,30,aman
06/01/2017,4.28,,aman
07/01/2017,4.92,,aman
08/01/2017,3.86,,aman
09/01/2017,3.78,,aman
10/01/2017,3.32,,aman
11/01/2017,3.9,,aman
12/01/2017,3.94,11,aman
13/01/2017,4.26,,aman
14/01/2017,4.12,1.5,aman
15/01/2017,4.22,,aman
16/01/2017,4.34,,aman
17/01/2017,4.23,8.5,aman
18/01/2017,4.32,7.5,aman
19/01/2017,3.93,,aman
20/01/2017,3.87,,aman
21/01/2017,4.1,,aman
22/01/2017,4.75,9,aman
23/01/2017,4.77,13,aman
24/01/2017,4.43,,aman
25/01/2017,4.42,1,aman
26/01/2017,4.26,0.5,aman
27/01/2017,4.22,1,aman
28/01/2017,4.12,,aman
29/01/2017,4.14,,aman
30/01/2017,4,,aman
31/01/2017,4,,aman
01/02/2017,4.39,5.0,aman
02/02/2017,4.27,3.0,aman
03/02/2017,4.03,0.0,aman
04/02/2017,4.02,2.0,aman
05/02/2017,3.97,2.5,aman
06/02/2017,3.87,,aman
07/02/2017,3.34,,aman
08/02/2017,4.07,,aman
09/02/2017,5.00,26.0,aman
10/02/2017,4.83,10.5,aman
11/02/2017,4.50,3.5,aman
12/02/2017,4.74,8.5,aman
13/02/2017,4.60,1.5,aman
14/02/2017,4.91,9.5,aman
15/02/2017,4.72,5.0,aman
16/02/2017,4.83,1.5,aman
17/02/2017,4.66,,aman
18/02/2017,4.40,,aman
19/02/2017,4.27,,aman
20/02/2017,4.30,,aman
21/02/2017,5.16,16.0,Siaga1
22/02/2017,4.71,1.0,aman
23/02/2017,4.99,0.5,aman
24/02/2017,4.67,,aman
25/02/2017,5.66,14.5,Siaga1
26/02/2017,5.57,15.0,Siaga1
27/02/2017,5.54,6.5,Siaga1
28/02/2017,6.31,51.0,Siaga2
01/03/2017,6.41,4.5,Siaga2
02/03/2017,6.41,27.0,Siaga2
03/03/2017,6.33,8.0,Siaga2
04/03/2017,5.35,11.5,Siaga1
05/03/2017,5.41,1.5,Siaga1
06/03/2017,5.20,11.0,Siaga1
07/03/2017,6.03,11.5,Siaga2
08/03/2017,6.89,,Siaga2
09/03/2017,6.34,,Siaga2
10/03/2017,5.60,,Siaga1
11/03/2017,5.63,4.0,Siaga1
12/03/2017,5.55,,Siaga1
13/03/2017,5.15,,Siaga1
14/03/2017,4.84,,aman
15/03/2017,4.71,,aman
16/03/2017,5.39,4.0,Siaga1
17/03/2017,5.20,23.5,Siaga1
18/03/2017,6.07,17.0,Siaga2
19/03/2017,6.16,23.5,Siaga2
20/03/2017,5.91,9.5,Siaga1
21/03/2017,5.48,,Siaga1
22/03/2017,5.11,,Siaga1
23/03/2017,5.04,7.0,Siaga1
24/03/2017,4.76,,aman
25/03/2017,4.51,,aman
26/03/2017,4.43,,aman
27/03/2017,4.67,4.0,aman
28/03/2017,5.07,,Siaga1
29/03/2017,4.81,5.0,aman
30/03/2017,4.93,,aman
31/03/2017,5.28,,Siaga1
01/04/2017,5.01,,Siaga1
02/04/2017,5.18,2.0,Siaga1
03/04/2017,4.90,0.5,aman
04/04/2017,5.05,,aman
05/04/2017,5.33,58.0,aman
06/04/2017,5.05,,aman
07/04/2017,4.94,4.5,aman
08/04/2017,4.71,,aman
09/04/2017,4.68,,aman
10/04/2017,5.61,5.0,Siaga1
11/04/2017,5.24,,Siaga1
12/04/2017,5.35,21.0,Siaga1
13/04/2017,5.04,2.0,Siaga1
14/04/2017,5.51,23.0,Siaga1
15/04/2017,5.24,3.5,Siaga1
16/04/2017,5.37,53.5,Siaga1
17/04/2017,5.47,,Siaga1
18/04/2017,5.19,,Siaga1
19/04/2017,5.96,9.5,Siaga1
20/04/2017,5.73,24.5,Siaga1
21/04/2017,5.04,,Siaga1
22/04/2017,4.95,1.0,aman
23/04/2017,6.19,35.5,Siaga2
24/04/2017,5.43,7.0,Siaga1
25/04/2017,4.87,,aman
26/04/2017,4.85,,aman
27/04/2017,5.09,,Siaga1
28/04/2017,5.77,,Siaga1
29/04/2017,5.68,46.5,Siaga1
30/04/2017,5.11,2.0,Siaga1
01/05/2017,5.09,5.5,Siaga1
02/05/2017,4.84,2.5,aman
03/05/2017,5.02,10.5,Siaga1
04/05/2017,5.07,1.0,Siaga1
05/05/2017,5.62,11.5,Siaga1
06/05/2017,5.27,3.0,Siaga1
07/05/2017,4.75,,aman
08/05/2017,4.65,,aman
09/05/2017,4.76,,aman
10/05/2017,4.47,0.0,aman
11/05/2017,4.36,,aman
12/05/2017,4.32,,aman
13/05/2017,4.16,,aman
14/05/2017,4.10,,aman
15/05/2017,4.08,19.5,aman
16/05/2017,3.96,,aman
17/05/2017,3.87,,aman
18/05/2017,3.83,,aman
19/05/2017,3.78,,aman
20/05/2017,3.77,,aman
21/05/2017,3.84,10.0,aman
22/05/2017,3.75,,aman
23/05/2017,3.76,,aman
24/05/2017,3.70,,aman
25/05/2017,3.68,,aman
26/05/2017,3.65,,aman
27/05/2017,3.58,,aman
28/05/2017,3.73,,aman
29/05/2017,4.24,10.5,aman
30/05/2017,4.02,,aman
31/05/2017,3.93,,aman
01/06/2017,4.59,,aman
02/06/2017,5.29,,Siaga1
03/06/2017,4.69,,aman
04/06/2017,5.03,,Siaga1
05/06/2017,4.65,,aman
06/06/2017,5.96,,Siaga1
07/06/2017,5.16,,Siaga1
08/06/2017,4.49,,aman
09/06/2017,4.13,,aman
10/06/2017,3.99,,aman
11/06/2017,3.87,,aman
12/06/2017,4.05,,aman
13/06/2017,4.13,,aman
14/06/2017,3.97,,aman
15/06/2017,4.16,,aman
16/06/2017,3.90,,aman
17/06/2017,3.82,,aman
18/06/2017,3.71,,aman
19/06/2017,3.66,,aman
20/06/2017,3.66,,aman
21/06/2017,3.68,,aman
22/06/2017,3.69,,aman
23/06/2017,3.69,,aman
24/06/2017,3.75,,aman
25/06/2017,3.74,,aman
26/06/2017,3.71,,aman
27/06/2017,3.75,,aman
28/06/2017,3.39,,aman
29/06/2017,4.15,,aman
30/06/2017,4.09,,aman
01/07/2017,4.66,6.0,aman
02/07/2017,4.07,,aman
03/07/2017,3.86,,aman
04/07/2017,3.75,,aman
05/07/2017,3.69,,aman
06/07/2017,3.64,,aman
07/07/2017,3.55,,aman
08/07/2017,3.51,,aman
09/07/2017,3.43,,aman
10/07/2017,3.49,,aman
11/07/2017,3.56,,aman
12/07/2017,3.54,2.0,aman
13/07/2017,3.45,,aman
14/07/2017,3.42,,aman
15/07/2017,3.43,,aman
16/07/2017,3.40,,aman
17/07/2017,3.38,,aman
18/07/2017,3.37,,aman
19/07/2017,3.49,17.0,aman
20/07/2017,4.19,11.0,aman
21/07/2017,4.55,51.5,aman
22/07/2017,3.97,,aman
23/07/2017,3.69,,aman
24/07/2017,3.71,41.0,aman
25/07/2017,3.53,32.5,aman
26/07/2017,3.40,,aman
27/07/2017,3.38,,aman
28/07/2017,3.40,,aman
29/07/2017,3.42,,aman
30/07/2017,3.72,,aman
31/07/2017,3.39,,aman
01/08/2017,3.36,,aman
02/08/2017,3.28,,aman
03/08/2017,3.27,,aman
04/08/2017,3.29,,aman
05/08/2017,3.27,,aman
06/08/2017,3.27,,aman
07/08/2017,3.28,,aman
08/08/2017,3.47,,aman
09/08/2017,3.59,9.0,aman
10/08/2017,3.47,2.5,aman
11/08/2017,3.41,,aman
12/08/2017,3.38,,aman
13/08/2017,3.28,,aman
14/08/2017,3.28,,aman
15/08/2017,3.26,,aman
16/08/2017,3.23,,aman
17/08/2017,3.21,,aman
18/08/2017,3.20,,aman
19/08/2017,3.23,,aman
20/08/2017,3.19,,aman
21/08/2017,3.20,,aman
22/08/2017,3.18,,aman
23/08/2017,3.16,,aman
24/08/2017,3.16,,aman
25/08/2017,3.16,,aman
26/08/2017,3.14,,aman
27/08/2017,3.11,,aman
28/08/2017,3.08,,aman
29/08/2017,3.16,,aman
30/08/2017,3.25,16.0,aman
31/08/2017,3.20,,aman
01/09/2017,3.14,,aman
02/09/2017,3.14,,aman
03/09/2017,3.15,,aman
04/09/2017,3.15,,aman
05/09/2017,3.17,,aman
06/09/2017,3.18,,aman
07/09/2017,3.15,,aman
08/09/2017,3.14,,aman
09/09/2017,3.14,,aman
10/09/2017,3.06,,aman
11/09/2017,3.10,,aman
12/09/2017,3.09,,aman
13/09/2017,3.12,,aman
14/09/2017,3.13,,aman
15/09/2017,3.12,,aman
16/09/2017,3.11,,aman
17/09/2017,3.09,,aman
18/09/2017,3.09,,aman
19/09/2017,3.06,,aman
20/09/2017,3.03,,aman
21/09/2017,3.18,2.0,aman
22/09/2017,3.14,,aman
23/09/2017,3.10,,aman
24/09/2017,3.13,,aman
25/09/2017,3.23,,aman
26/09/2017,3.26,2.5,aman
27/09/2017,3.61,16.5,aman
28/09/2017,3.70,21.5,aman
29/09/2017,3.96,20.5,aman
30/09/2017,5.51,71.0,Siaga1
01/10/2017,4.43,,aman
02/10/2017,3.94,0.0,aman
03/10/2017,4.19,27.0,aman
04/10/2017,3.70,0.0,aman
05/10/2017,3.47,,aman
06/10/2017,3.41,,aman
07/10/2017,3.36,,aman
08/10/2017,3.92,,aman
09/10/2017,4.30,43.5,aman
10/10/2017,4.73,0.0,aman
11/10/2017,4.25,,aman
12/10/2017,4.21,33.5,aman
13/10/2017,3.79,0.0,aman
14/10/2017,3.71,2.5,aman
15/10/2017,3.50,,aman
16/10/2017,3.60,,aman
17/10/2017,4.52,11.0,aman
18/10/2017,4.09,2.0,aman
19/10/2017,4.70,21.0,aman
20/10/2017,4.73,13.5,aman
21/10/2017,4.84,,aman
22/10/2017,4.29,8.0,aman
23/10/2017,3.97,,aman
24/10/2017,3.98,19.0,aman
25/10/2017,4.27,5.5,aman
26/10/2017,5.46,10.5,Siaga1
27/10/2017,4.88,0.0,aman
28/10/2017,5.23,15.5,Siaga1
29/10/2017,4.55,3.0,aman
30/10/2017,4.28,1.5,aman
31/10/2017,3.94,,aman
01/11/2017,3.78,,aman
02/11/2017,3.61,,aman
03/11/2017,3.56,,aman
04/11/2017,3.39,17.0,aman
05/11/2017,4.00,8.5,aman
06/11/2017,4.68,0.0,aman
07/11/2017,5.50,28.0,Siaga1
08/11/2017,5.81,9.5,Siaga1
09/11/2017,6.24,27.0,Siaga2
10/11/2017,6.42,26.0,Siaga2
11/11/2017,5.78,0.0,Siaga1
12/11/2017,6.10,32.0,Siaga2
13/11/2017,6.46,88.0,Siaga2
14/11/2017,6.28,32.5,Siaga2
15/11/2017,6.58,23.0,Siaga2
16/11/2017,6.54,0.0,Siaga2
17/11/2017,6.55,69.5,Siaga2
18/11/2017,6.59,9.5,Siaga2
19/11/2017,6.03,0.0,Siaga2
20/11/2017,6.07,28.5,Siaga2
21/11/2017,6.09,9.0,Siaga2
22/11/2017,6.75,2.0,Siaga2
23/11/2017,6.40,92.0,Siaga2
24/11/2017,5.98,2.5,Siaga1
25/11/2017,5.39,,Siaga1
26/11/2017,4.92,0.0,aman
27/11/2017,5.13,16.5,Siaga1
28/11/2017,6.49,39.5,Siaga2
29/11/2017,5.56,1.0,Siaga1
30/11/2017,5.03,1.5,Siaga1
01/12/2017,5.06,10.5,Siaga1
02/12/2017,4.77,,aman
03/12/2017,4.45,,aman
04/12/2017,4.35,,aman
05/12/2017,4.43,20.5,aman
06/12/2017,4.28,,aman
07/12/2017,4.63,0.0,aman
08/12/2017,5.39,6.0,Siaga1
09/12/2017,5.58,13.5,Siaga1
10/12/2017,5.01,2.5,Siaga1
11/12/2017,4.60,0.0,aman
12/12/2017,4.56,11.5,aman
13/12/2017,4.75,24.0,aman
14/12/2017,5.00,21.5,aman
15/12/2017,4.90,0.0,aman
16/12/2017,6.64,35.5,Siaga2
17/12/2017,6.35,9.5,Siaga2
18/12/2017,6.18,18.5,Siaga2
19/12/2017,5.68,2.5,Siaga1
20/12/2017,5.34,0.0,Siaga1
21/12/2017,5.21,11.0,Siaga1
22/12/2017,4.76,,aman
23/12/2017,4.50,,aman
24/12/2017,4.30,,aman
25/12/2017,4.19,,aman
26/12/2017,4.10,,aman
27/12/2017,4.05,,aman
28/12/2017,4.02,,aman
29/12/2017,3.93,,aman
30/12/2017,3.74,,aman
31/12/2017,4.26,,aman
01/01/2018,4.41,,aman
02/01/2018,4.41,1,aman
03/01/2018,5.24,13.5,Siaga1
04/01/2018,5.23,44.5,Siaga1
05/01/2018,5.6,10.5,Siaga1
06/01/2018,5.27,24,Siaga1
07/01/2018,4.57,,aman
08/01/2018,4.52,,aman
09/01/2018,4.49,,aman
10/01/2018,4.54,,aman
11/01/2018,5.32,10.5,Siaga1
12/01/2018,4.47,0,aman
13/01/2018,4.23,,aman
14/01/2018,4.18,0,aman
15/01/2018,4.18,8,aman
16/01/2018,4.02,1,aman
17/01/2018,4.14,,aman
18/01/2018,3.98,,aman
19/01/2018,3.99,,aman
20/01/2018,3.96,0,aman
21/01/2018,3.95,0,aman
22/01/2018,4.02,1,aman
23/01/2018,4.02,0,aman
24/01/2018,4,,aman
25/01/2018,4.12,,aman
26/01/2018,4.24,0,aman
27/01/2018,4.18,3,aman
28/01/2018,3.87,0,aman
29/01/2018,3.17,0,aman
30/01/2018,3.76,,aman
31/01/2018,3.81,3,aman
01/02/2018,4.05,3,aman
02/02/2018,3.95,,aman
03/02/2018,3.94,,aman
04/02/2018,4.01,0,aman
05/02/2018,4.2,0,aman
06/02/2018,4.8,11,aman
07/02/2018,5.09,20,Siaga1
08/02/2018,4.73,15,aman
09/02/2018,4.61,,aman
10/02/2018,4.59,27,aman
11/02/2018,4.34,0,aman
12/02/2018,4.2,,aman
13/02/2018,4.18,,aman
14/02/2018,4.16,5.5,aman
15/02/2018,4.31,12.5,aman
16/02/2018,4.74,,aman
17/02/2018,4.2,,aman
18/02/2018,4.09,0,aman
19/02/2018,4.43,0,aman
20/02/2018,5.4,42,Siaga1
21/02/2018,5.41,3.5,Siaga1
22/02/2018,5.78,0,Siaga1
23/02/2018,7.03,,Siaga2
24/02/2018,6.94,,Siaga2
25/02/2018,6.86,3,Siaga2
26/02/2018,6.87,,Siaga2
27/02/2018,6.53,30,Siaga2
28/02/2018,6.26,19,Siaga2
01/03/2018,6.16,0,Siaga2
02/03/2018,6.16,19,Siaga2
03/03/2018,6.19,11.5,Siaga2
04/03/2018,6.79,,Siaga2
05/03/2018,6.84,,Siaga2
06/03/2018,6.33,45,Siaga2
07/03/2018,5.61,2.5,Siaga1
08/03/2018,6.31,62.5,Siaga1
09/03/2018,7.14,,Siaga2
10/03/2018,6.64,,Siaga2
11/03/2018,6.44,,Siaga2
12/03/2018,6.36,0,Siaga2
13/03/2018,6.43,13,Siaga2
14/03/2018,5.93,,Siaga1
15/03/2018,5.48,0,Siaga1
16/03/2018,5.29,3,Siaga1
17/03/2018,5.74,0,Siaga1
18/03/2018,5.85,28,Siaga1
19/03/2018,5.57,,Siaga1
20/03/2018,5.79,,Siaga1
21/03/2018,5.53,,Siaga1
22/03/2018,4.98,,aman
23/03/2018,4.8,,aman
24/03/2018,5.17,0,Siaga1
25/03/2018,5.31,9,Siaga1
26/03/2018,5.85,,Siaga1
27/03/2018,4.87,4.5,aman
28/03/2018,4.8,0,aman
29/03/2018,4.58,,aman
30/03/2018,4.55,,aman
31/03/2018,4.78,,aman
01/04/2018,4.51,,aman
02/04/2018,4.44,,aman
03/04/2018,5.25,5.5,Siaga1
04/04/2018,5.36,60,Siaga1
05/04/2018,4.83,,aman
06/04/2018,5.32,10.5,Siaga1
07/04/2018,4.93,,aman
08/04/2018,6.04,22.5,Siaga1
09/04/2018,5.06,,Siaga1
10/04/2018,5.15,13.5,Siaga1
11/04/2018,4.64,,aman
12/04/2018,4.41,,aman
13/04/2018,4.37,,aman
14/04/2018,4.51,,aman
15/04/2018,4.44,,aman
16/04/2018,4.57,11.5,aman
17/04/2018,5.55,4.5,Siaga1
18/04/2018,4.86,14.5,aman
19/04/2018,5.06,2.5,Siaga1
20/04/2018,5.92,6,Siaga1
21/04/2018,5.97,13,Siaga1
22/04/2018,5.49,11.5,Siaga1
23/04/2018,5.38,25.5,Siaga1
24/04/2018,4.9,0,aman
25/04/2018,4.75,,aman
26/04/2018,5.37,21.5,Siaga1
27/04/2018,4.92,0,aman
28/04/2018,4.62,,aman
29/04/2018,4.67,3,aman
30/04/2018,4.33,,aman
01/05/2018,4.17,,aman
02/05/2018,4.09,2.5,aman
03/05/2018,4.06,,aman
04/05/2018,4.14,,aman
05/05/2018,4.15,16,aman
06/05/2018,3.99,,aman
07/05/2018,3.93,,aman
08/05/2018,4.08,,aman
09/05/2018,4.39,45,aman
10/05/2018,4.05,,aman
11/05/2018,3.94,,aman
12/05/2018,3.89,,aman
13/05/2018,4.14,5,aman
14/05/2018,3.85,,aman
15/05/2018,3.75,,aman
16/05/2018,3.83,,aman
17/05/2018,3.8,,aman
18/05/2018,3.69,5,aman
19/05/2018,4.1,3.5,aman
20/05/2018,4.12,16.5,aman
21/05/2018,4.54,1.5,aman
22/05/2018,4.66,4.5,aman
23/05/2018,4.35,7.5,aman
24/05/2018,4.51,3,aman
25/05/2018,4.34,,aman
26/05/2018,4.33,,aman
27/05/2018,4.13,,aman
28/05/2018,3.94,,aman
29/05/2018,3.81,,aman
30/05/2018,3.83,,aman
31/05/2018,3.82,,aman
01/06/2018,3.75,,aman
02/06/2018,3.72,,aman
03/06/2018,3.79,,aman
04/06/2018,3.83,,aman
05/06/2018,3.78,,aman
06/06/2018,3.76,,aman
07/06/2018,3.71,,aman
08/06/2018,3.72,,aman
09/06/2018,3.67,,aman
10/06/2018,3.63,,aman
11/06/2018,3.62,,aman
12/06/2018,3.6,,aman
13/06/2018,3.59,,aman
14/06/2018,3.54,,aman
15/06/2018,3.63,,aman
16/06/2018,3.81,0,aman
17/06/2018,3.69,,aman
18/06/2018,3.71,,aman
19/06/2018,3.58,,aman
20/06/2018,3.53,,aman
21/06/2018,3.52,,aman
22/06/2018,3.55,,aman
23/06/2018,3.57,,aman
24/06/2018,3.57,0,aman
25/06/2018,3.65,0,aman
26/06/2018,4,0,aman
27/06/2018,4.43,22,aman
28/06/2018,3.9,,aman
29/06/2018,3.73,,aman
30/06/2018,3.62,,aman
01/07/2018,3.59,,aman
02/07/2018,3.56,,aman
03/07/2018,3.59,,aman
04/07/2018,3.49,,aman
05/07/2018,3.49,,aman
06/07/2018,3.44,,aman
07/07/2018,3.41,,aman
08/07/2018,3.43,3,aman
09/07/2018,3.48,,aman
10/07/2018,3.45,,aman
11/07/2018,3.45,,aman
12/07/2018,3.4,,aman
13/07/2018,3.36,,aman
14/07/2018,3.37,,aman
15/07/2018,3.38,,aman
16/07/2018,3.39,,aman
17/07/2018,3.41,,aman
18/07/2018,3.38,,aman
19/07/2018,3.37,,aman
20/07/2018,3.41,,aman
21/07/2018,3.34,,aman
22/07/2018,3.43,2.5,aman
23/07/2018,3.45,37,aman
24/07/2018,3.42,,aman
25/07/2018,3.42,,aman
26/07/2018,3.33,,aman
27/07/2018,3.32,,aman
28/07/2018,3.28,,aman
29/07/2018,3.29,,aman
30/07/2018,3.28,,aman
31/07/2018,3.3,,aman
01/08/2018,3.37,,aman
02/08/2018,3.45,34.5,aman
03/08/2018,3.35,,aman
04/08/2018,3.31,,aman
05/08/2018,3.31,,aman
06/08/2018,3.31,,aman
07/08/2018,3.25,,aman
08/08/2018,3.28,,aman
09/08/2018,3.32,,aman
10/08/2018,3.37,,aman
11/08/2018,3.35,,aman
12/08/2018,3.33,,aman
13/08/2018,3.34,,aman
14/08/2018,3.32,,aman
15/08/2018,3.26,,aman
16/08/2018,3.24,,aman
17/08/2018,3.22,,aman
18/08/2018,3.3,,aman
19/08/2018,3.34,,aman
20/08/2018,3.3,,aman
21/08/2018,3.25,,aman
22/08/2018,3.27,,aman
23/08/2018,3.27,,aman
24/08/2018,3.27,,aman
25/08/2018,3.27,,aman
26/08/2018,3.23,,aman
27/08/2018,3.27,,aman
28/08/2018,3.38,,aman
29/08/2018,3.4,,aman
30/08/2018,3.42,,aman
31/08/2018,3.46,,aman
01/09/2018,3.54,,aman
02/09/2018,3.43,,aman
03/09/2018,3.61,,aman
04/09/2018,3.46,,aman
05/09/2018,3.38,,aman
06/09/2018,3.35,,aman
07/09/2018,3.34,,aman
08/09/2018,3.3,,aman
09/09/2018,3.3,,aman
10/09/2018,3.27,,aman
11/09/2018,3.25,,aman
12/09/2018,3.24,,aman
13/09/2018,3.2,,aman
14/09/2018,3.16,,aman
15/09/2018,3.16,,aman
16/09/2018,3.16,,aman
17/09/2018,3.13,,aman
18/09/2018,3.16,,aman
19/09/2018,3.17,,aman
20/09/2018,3.22,,aman
21/09/2018,3.3,,aman
22/09/2018,3.51,,aman
23/09/2018,3.44,,aman
24/09/2018,3.3,,aman
25/09/2018,3.25,,aman
26/09/2018,3.25,,aman
27/09/2018,3.38,,aman
28/09/2018,3.25,,aman
29/09/2018,3.19,,aman
30/09/2018,3.19,,aman
01/10/2018,3.19,,aman
02/10/2018,3.2,,aman
03/10/2018,3.26,,aman
04/10/2018,3.32,,aman
05/10/2018,3.22,,aman
06/10/2018,3.16,,aman
07/10/2018,3.16,,aman
08/10/2018,3.11,,aman
09/10/2018,3.13,,aman
10/10/2018,3.15,,aman
11/10/2018,3.14,,aman
12/10/2018,3.11,,aman
13/10/2018,3.11,,aman
14/10/2018,3.2,6,aman
15/10/2018,3.13,,aman
16/10/2018,3.19,,aman
17/10/2018,3.24,0,aman
18/10/2018,3.29,2.5,aman
19/10/2018,3.6,9.5,aman
20/10/2018,3.35,0,aman
21/10/2018,3.29,,aman
22/10/2018,3.25,,aman
23/10/2018,3.33,,aman
24/10/2018,3.57,0,aman
25/10/2018,3.42,3,aman
26/10/2018,3.37,0,aman
27/10/2018,3.44,0,aman
28/10/2018,3.59,,aman
29/10/2018,5.13,31.5,Siaga1
30/10/2018,5.21,12.4,Siaga1
31/10/2018,5.18,3,Siaga1
01/11/2018,5.15,21,Siaga1
02/11/2018,4.34,28.5,aman
03/11/2018,3.88,3,aman
04/11/2018,3.78,0,aman
05/11/2018,3.62,10,aman
06/11/2018,3.78,8,aman
07/11/2018,3.96,0,aman
08/11/2018,5.78,73.5,Siaga1
09/11/2018,6.08,47,Siaga2
10/11/2018,5.79,72,Siaga1
11/11/2018,6.02,35,Siaga2
12/11/2018,6.46,92,Siaga2
13/11/2018,5.75,7.5,Siaga1
14/11/2018,5.32,2,Siaga1
15/11/2018,4.75,0,aman
16/11/2018,4.68,0,aman
17/11/2018,4.26,,aman
18/11/2018,3.92,,aman
19/11/2018,3.8,,aman
20/11/2018,3.84,,aman
21/11/2018,4.77,41.5,aman
22/11/2018,4.74,3,aman
23/11/2018,4.45,,aman
24/11/2018,4.14,21,aman
25/11/2018,4.59,11.5,aman
26/11/2018,5.35,20,Siaga1
27/11/2018,4.67,0,aman
28/11/2018,4.69,61,Siaga1
29/11/2018,3.83,7.5,aman
30/11/2018,5.91,10.7,Siaga1
01/12/2018,5.85,0,Siaga1
02/12/2018,6.03,4,Siaga2
03/12/2018,4.9,0,aman
04/12/2018,5.45,17,Siaga1
05/12/2018,5.47,20,Siaga1
06/12/2018,5.03,30,Siaga1
07/12/2018,5.11,2,Siaga1
08/12/2018,4.9,3,aman
09/12/2018,4.29,0,aman
10/12/2018,4.31,1.5,aman
11/12/2018,5.1,23,Siaga1
12/12/2018,4.76,55.5,aman
13/12/2018,4.43,,aman
14/12/2018,4.62,64,aman
15/12/2018,5.41,43,Siaga1
16/12/2018,6,0,Siaga1
17/12/2018,5.5,,Siaga1
18/12/2018,4.71,,aman
19/12/2018,4.4,,aman
20/12/2018,4.36,,aman
21/12/2018,4.44,0,aman
22/12/2018,4.18,,aman
23/12/2018,4.07,,aman
24/12/2018,4.25,5.5,aman
25/12/2018,4.26,,aman
26/12/2018,4.77,12,aman
27/12/2018,4.57,16,aman
28/12/2018,4.73,3.5,aman
29/12/2018,4.84,,aman
30/12/2018,4.41,,aman
31/12/2018,4.14,,aman